repo,stars,forks,open_issues
codecrafters-io/build-your-own-x,424692,39838,436
freeCodeCamp/freeCodeCamp,429758,41917,295
996icu/996.ICU,274478,21043,16695
codecrafters-io/build-your-own-x,424692,39838,436
freeCodeCamp/freeCodeCamp,429758,41917,295
