repo,user,filtered_location,total_contributors_for_repo,non_target_country_contributors
freeCodeCamp/freeCodeCamp,abhisekp,India,5990,5299
freeCodeCamp/freeCodeCamp,abhisheknarang,India,5990,5299
freeCodeCamp/freeCodeCamp,abutler911,United States,5990,5299
freeCodeCamp/freeCodeCamp,adarshdotdev,India,5990,5299
freeCodeCamp/freeCodeCamp,adilyb,India,5990,5299
freeCodeCamp/freeCodeCamp,aditya-pandey,India,5990,5299
freeCodeCamp/freeCodeCamp,adityaoberai,India,5990,5299
freeCodeCamp/freeCodeCamp,agbales,United States,5990,5299
freeCodeCamp/freeCodeCamp,aghaffar570,United States,5990,5299
freeCodeCamp/freeCodeCamp,ahujaesh,United States,5990,5299
freeCodeCamp/freeCodeCamp,aintnodev,India,5990,5299
freeCodeCamp/freeCodeCamp,akashyeole,India,5990,5299
freeCodeCamp/freeCodeCamp,akbarbmirza,United States,5990,5299
freeCodeCamp/freeCodeCamp,akhilk2802,United States,5990,5299
freeCodeCamp/freeCodeCamp,akibmaredia,United States,5990,5299
freeCodeCamp/freeCodeCamp,akkshaylawrence,India,5990,5299
freeCodeCamp/freeCodeCamp,akshatgarg12,India,5990,5299
freeCodeCamp/freeCodeCamp,akshatsh0610,India,5990,5299
freeCodeCamp/freeCodeCamp,akycdi,India,5990,5299
freeCodeCamp/freeCodeCamp,alagumuthiah,United States,5990,5299
freeCodeCamp/freeCodeCamp,alamsls2013,United States,5990,5299
freeCodeCamp/freeCodeCamp,alexch,United States,5990,5299
freeCodeCamp/freeCodeCamp,alexdelude,United States,5990,5299
freeCodeCamp/freeCodeCamp,alexkozlovm,United States,5990,5299
freeCodeCamp/freeCodeCamp,allenpbiju,India,5990,5299
freeCodeCamp/freeCodeCamp,allison-strandberg,United States,5990,5299
freeCodeCamp/freeCodeCamp,alyssa,United States,5990,5299
freeCodeCamp/freeCodeCamp,amartyaamp,India,5990,5299
freeCodeCamp/freeCodeCamp,amitech,India,5990,5299
freeCodeCamp/freeCodeCamp,ammit,Germany,5990,5299
freeCodeCamp/freeCodeCamp,anand-harsh,India,5990,5299
freeCodeCamp/freeCodeCamp,anandhelloworld,India,5990,5299
freeCodeCamp/freeCodeCamp,anandxkumar,India,5990,5299
freeCodeCamp/freeCodeCamp,andersonfpcorrea,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,andrejcode,Germany,5990,5299
freeCodeCamp/freeCodeCamp,andreleecoder,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,andrewprohde,United States,5990,5299
freeCodeCamp/freeCodeCamp,angad-singhh,India,5990,5299
freeCodeCamp/freeCodeCamp,aniketsinha2002,India,5990,5299
freeCodeCamp/freeCodeCamp,animeshroydev,India,5990,5299
freeCodeCamp/freeCodeCamp,anishlukk123,United States,5990,5299
freeCodeCamp/freeCodeCamp,ankitaggarwal011,United States,5990,5299
freeCodeCamp/freeCodeCamp,anmolsah,India,5990,5299
freeCodeCamp/freeCodeCamp,anshul2807,India,5990,5299
freeCodeCamp/freeCodeCamp,antcho92,United States,5990,5299
freeCodeCamp/freeCodeCamp,anthonyzeng99,United States,5990,5299
freeCodeCamp/freeCodeCamp,anuplohar001,India,5990,5299
freeCodeCamp/freeCodeCamp,aporto,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,ariguiba,Germany,5990,5299
freeCodeCamp/freeCodeCamp,arturFVictor,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,arunkumar0398,India,5990,5299
freeCodeCamp/freeCodeCamp,aryandeelwal,India,5990,5299
freeCodeCamp/freeCodeCamp,ashwanimehra,India,5990,5299
freeCodeCamp/freeCodeCamp,assil,Germany,5990,5299
freeCodeCamp/freeCodeCamp,at1faulkner,United States,5990,5299
freeCodeCamp/freeCodeCamp,avastu,United States,5990,5299
freeCodeCamp/freeCodeCamp,awwakum,Germany,5990,5299
freeCodeCamp/freeCodeCamp,axatjpr,India,5990,5299
freeCodeCamp/freeCodeCamp,ayerest,United States,5990,5299
freeCodeCamp/freeCodeCamp,ayra-jafri,United States,5990,5299
freeCodeCamp/freeCodeCamp,ayushkr7,India,5990,5299
freeCodeCamp/freeCodeCamp,azharKhalid,India,5990,5299
freeCodeCamp/freeCodeCamp,azr-arch,India,5990,5299
freeCodeCamp/freeCodeCamp,b-man157,India,5990,5299
freeCodeCamp/freeCodeCamp,balaji-sivasakthi,India,5990,5299
freeCodeCamp/freeCodeCamp,bauripalash,India,5990,5299
freeCodeCamp/freeCodeCamp,bbenkert,United States,5990,5299
freeCodeCamp/freeCodeCamp,bcherny,United States,5990,5299
freeCodeCamp/freeCodeCamp,beaucarnes,United States,5990,5299
freeCodeCamp/freeCodeCamp,bennett-elder,United States,5990,5299
freeCodeCamp/freeCodeCamp,benschac,United States,5990,5299
freeCodeCamp/freeCodeCamp,bernd,Germany,5990,5299
freeCodeCamp/freeCodeCamp,betheymc,United States,5990,5299
freeCodeCamp/freeCodeCamp,bharateshwq,India,5990,5299
freeCodeCamp/freeCodeCamp,bheavner,United States,5990,5299
freeCodeCamp/freeCodeCamp,binarygalwalkin,United States,5990,5299
freeCodeCamp/freeCodeCamp,branden,United States,5990,5299
freeCodeCamp/freeCodeCamp,brennemo,United States,5990,5299
freeCodeCamp/freeCodeCamp,brenoxav,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,brian,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,brianwu02,United States,5990,5299
freeCodeCamp/freeCodeCamp,bryanleemoore,United States,5990,5299
freeCodeCamp/freeCodeCamp,bteng22,United States,5990,5299
freeCodeCamp/freeCodeCamp,bycdiaz,United States,5990,5299
freeCodeCamp/freeCodeCamp,caicke,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,cameronpattisall,United States,5990,5299
freeCodeCamp/freeCodeCamp,candib80,United States,5990,5299
freeCodeCamp/freeCodeCamp,capdev17,United States,5990,5299
freeCodeCamp/freeCodeCamp,carrotfarmer,United States,5990,5299
freeCodeCamp/freeCodeCamp,catrawalkar,India,5990,5299
freeCodeCamp/freeCodeCamp,cch5ng,United States,5990,5299
freeCodeCamp/freeCodeCamp,chaitanyarahalkar,United States,5990,5299
freeCodeCamp/freeCodeCamp,chari1239,India,5990,5299
freeCodeCamp/freeCodeCamp,charlottetan,United States,5990,5299
freeCodeCamp/freeCodeCamp,chelseamariehicks,United States,5990,5299
freeCodeCamp/freeCodeCamp,chrisfotso,United States,5990,5299
freeCodeCamp/freeCodeCamp,chrisgithubok,United States,5990,5299
freeCodeCamp/freeCodeCamp,chrisjcastle93,Germany,5990,5299
freeCodeCamp/freeCodeCamp,citurbe,United States,5990,5299
freeCodeCamp/freeCodeCamp,clayhefner,United States,5990,5299
freeCodeCamp/freeCodeCamp,clydehenry3,United States,5990,5299
freeCodeCamp/freeCodeCamp,codenonprofit,United States,5990,5299
freeCodeCamp/freeCodeCamp,colinnielsen,United States,5990,5299
freeCodeCamp/freeCodeCamp,crandalj,United States,5990,5299
freeCodeCamp/freeCodeCamp,cubes,United States,5990,5299
freeCodeCamp/freeCodeCamp,d,United States,5990,5299
freeCodeCamp/freeCodeCamp,dakshshah96,India,5990,5299
freeCodeCamp/freeCodeCamp,damascus8,India,5990,5299
freeCodeCamp/freeCodeCamp,daniel-j-mac,United States,5990,5299
freeCodeCamp/freeCodeCamp,daniela-idara,United States,5990,5299
freeCodeCamp/freeCodeCamp,danielsegarra36,United States,5990,5299
freeCodeCamp/freeCodeCamp,danielveazey,United States,5990,5299
freeCodeCamp/freeCodeCamp,davemflick,United States,5990,5299
freeCodeCamp/freeCodeCamp,daviesa2,United States,5990,5299
freeCodeCamp/freeCodeCamp,dbarrerap,United States,5990,5299
freeCodeCamp/freeCodeCamp,dchristlieb,United States,5990,5299
freeCodeCamp/freeCodeCamp,dcsmith926,United States,5990,5299
freeCodeCamp/freeCodeCamp,ddhogan,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,deepesh-ludhyani,India,5990,5299
freeCodeCamp/freeCodeCamp,deepk777,India,5990,5299
freeCodeCamp/freeCodeCamp,deesto,United States,5990,5299
freeCodeCamp/freeCodeCamp,depleur,India,5990,5299
freeCodeCamp/freeCodeCamp,derek,United States,5990,5299
freeCodeCamp/freeCodeCamp,devTejaSrinivas,India,5990,5299
freeCodeCamp/freeCodeCamp,dhanush1909,India,5990,5299
freeCodeCamp/freeCodeCamp,diegosiqueir4,Germany,5990,5299
freeCodeCamp/freeCodeCamp,diogocampos,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,diogorighi,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,dipayanDebTheCoder,India,5990,5299
freeCodeCamp/freeCodeCamp,djengle91,United States,5990,5299
freeCodeCamp/freeCodeCamp,dkcr7,India,5990,5299
freeCodeCamp/freeCodeCamp,dongwon900,United States,5990,5299
freeCodeCamp/freeCodeCamp,donniereese,United States,5990,5299
freeCodeCamp/freeCodeCamp,doomcrewinc,United States,5990,5299
freeCodeCamp/freeCodeCamp,dotslash21,India,5990,5299
freeCodeCamp/freeCodeCamp,dragon-slayer27,India,5990,5299
freeCodeCamp/freeCodeCamp,drewisatlas,United States,5990,5299
freeCodeCamp/freeCodeCamp,drrakonov,India,5990,5299
freeCodeCamp/freeCodeCamp,dstarrtrey,United States,5990,5299
freeCodeCamp/freeCodeCamp,dugb,United States,5990,5299
freeCodeCamp/freeCodeCamp,durgeshra,India,5990,5299
freeCodeCamp/freeCodeCamp,dwrik,India,5990,5299
freeCodeCamp/freeCodeCamp,dyazdani,United States,5990,5299
freeCodeCamp/freeCodeCamp,ed42311,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,edmassarani,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,eedmond,United States,5990,5299
freeCodeCamp/freeCodeCamp,effendiian,United States,5990,5299
freeCodeCamp/freeCodeCamp,elisecode247,United States,5990,5299
freeCodeCamp/freeCodeCamp,emh1010,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,erajtob,United States,5990,5299
freeCodeCamp/freeCodeCamp,eric,United States,5990,5299
freeCodeCamp/freeCodeCamp,erico,Germany,5990,5299
freeCodeCamp/freeCodeCamp,evankart,United States,5990,5299
freeCodeCamp/freeCodeCamp,exmelendez,United States,5990,5299
freeCodeCamp/freeCodeCamp,faheel,India,5990,5299
freeCodeCamp/freeCodeCamp,falgunmpatel,India,5990,5299
freeCodeCamp/freeCodeCamp,farjadfazli,United States,5990,5299
freeCodeCamp/freeCodeCamp,fazmain,United States,5990,5299
freeCodeCamp/freeCodeCamp,fcarlone,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,feldbot,United States,5990,5299
freeCodeCamp/freeCodeCamp,felhe,Germany,5990,5299
freeCodeCamp/freeCodeCamp,fernandakawasaki,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,floookay,Germany,5990,5299
freeCodeCamp/freeCodeCamp,freeZe2511,Germany,5990,5299
freeCodeCamp/freeCodeCamp,freginold,United States,5990,5299
freeCodeCamp/freeCodeCamp,g-charan,India,5990,5299
freeCodeCamp/freeCodeCamp,garritfra,Germany,5990,5299
freeCodeCamp/freeCodeCamp,gautamhans1,India,5990,5299
freeCodeCamp/freeCodeCamp,ggaeth,United States,5990,5299
freeCodeCamp/freeCodeCamp,ggbong734,United States,5990,5299
freeCodeCamp/freeCodeCamp,ghritak,India,5990,5299
freeCodeCamp/freeCodeCamp,gokulmanohar,India,5990,5299
freeCodeCamp/freeCodeCamp,gourav2824,India,5990,5299
freeCodeCamp/freeCodeCamp,gouravkmr170,India,5990,5299
freeCodeCamp/freeCodeCamp,grant,United States,5990,5299
freeCodeCamp/freeCodeCamp,graysonarts,United States,5990,5299
freeCodeCamp/freeCodeCamp,greg,United States,5990,5299
freeCodeCamp/freeCodeCamp,gshacklebolt,India,5990,5299
freeCodeCamp/freeCodeCamp,guillermohernandez,United States,5990,5299
freeCodeCamp/freeCodeCamp,guttume,India,5990,5299
freeCodeCamp/freeCodeCamp,hanish-rishen,India,5990,5299
freeCodeCamp/freeCodeCamp,haripajjuri,India,5990,5299
freeCodeCamp/freeCodeCamp,harmeetsingh01,India,5990,5299
freeCodeCamp/freeCodeCamp,hassaanahmad47,United States,5990,5299
freeCodeCamp/freeCodeCamp,hegdenischay,India,5990,5299
freeCodeCamp/freeCodeCamp,heysujal,India,5990,5299
freeCodeCamp/freeCodeCamp,hikinthru,United States,5990,5299
freeCodeCamp/freeCodeCamp,hiutwig,Germany,5990,5299
freeCodeCamp/freeCodeCamp,hwanderlust,United States,5990,5299
freeCodeCamp/freeCodeCamp,iabhishek07,India,5990,5299
freeCodeCamp/freeCodeCamp,iamrajiv,India,5990,5299
freeCodeCamp/freeCodeCamp,impactlearner,United States,5990,5299
freeCodeCamp/freeCodeCamp,infinitec,United States,5990,5299
freeCodeCamp/freeCodeCamp,ishan-chhabra,India,5990,5299
freeCodeCamp/freeCodeCamp,italosestilon,Brazil,5990,5299
freeCodeCamp/freeCodeCamp,itsjatinnagar,India,5990,5299
freeCodeCamp/freeCodeCamp,itzVarsha,India,5990,5299
freeCodeCamp/freeCodeCamp,jafowler85,United States,5990,5299
freeCodeCamp/freeCodeCamp,jagzmz,India,5990,5299
freeCodeCamp/freeCodeCamp,jakethecoder95,United States,5990,5299
freeCodeCamp/freeCodeCamp,jamesbvsh,United States,5990,5299
freeCodeCamp/freeCodeCamp,jameskaupert,United States,5990,5299
freeCodeCamp/freeCodeCamp,jamesliudotcc,United States,5990,5299
freeCodeCamp/freeCodeCamp,janni1288,Germany,5990,5299
freeCodeCamp/freeCodeCamp,jasmeetsohal,India,5990,5299
freeCodeCamp/freeCodeCamp,jasonappah,United States,5990,5299
freeCodeCamp/freeCodeCamp,jayyargh,Brazil,5990,5299
