repo_name,repo_id,repo_url,login,profile_url,location,country
ant-design,34526884,https://github.com/ant-design/ant-design,rinick,https://github.com/rinick,Bay Area,United States
HowToCook,243950408,https://github.com/Anduin2017/HowToCook,OneZe1023,https://github.com/OneZe1023,"Changchun, Jilin",United States
neovim,16408992,https://github.com/neovim/neovim,MariaSolOs,https://github.com/MariaSolOs,"Seattle, WA",United States
java-design-patterns,22790488,https://github.com/iluwatar/java-design-patterns,gopinath-langote,https://github.com/gopinath-langote,"Bangalore, India",India
Web-Dev-For-Beginners,311525798,https://github.com/microsoft/Web-Dev-For-Beginners,jlooper,https://github.com/jlooper,Boston,United States
puppeteer,90796663,https://github.com/puppeteer/puppeteer,SlootSantos,https://github.com/SlootSantos,Germany,Germany
ComfyUI,589831718,https://github.com/comfyanonymous/ComfyUI,mcmonkey4eva,https://github.com/mcmonkey4eva,"Los Angeles, California",United States
fastapi,160919119,https://github.com/fastapi/fastapi,marcelomarkus,https://github.com/marcelomarkus,Brasília/DF,Brazil
supabase,214587193,https://github.com/supabase/supabase,w3b6x9,https://github.com/w3b6x9,"New York, NY",United States
tailwindcss,106017343,https://github.com/tailwindlabs/tailwindcss,jackmcdade,https://github.com/jackmcdade,"Ormond Beach, FL",United States
vue-element-admin,88464704,https://github.com/PanJiaChen/vue-element-admin,Armour,https://github.com/Armour,Munich,Germany
llama.cpp,612354784,https://github.com/ggml-org/llama.cpp,m18coppola,https://github.com/m18coppola,New York,United States
NextChat,612344730,https://github.com/ChatGPTNextWeb/NextChat,danielgwilson,https://github.com/danielgwilson,"San Francisco, CA",United States
django,4164482,https://github.com/django/django,David-Wobrock,https://github.com/David-Wobrock,"Berlin, Germany",Germany
opencv,5108051,https://github.com/opencv/opencv,pclove1,https://github.com/pclove1,"San Francisco Bay Area, CA",United States
svelte,74293321,https://github.com/sveltejs/svelte,andrelmlins,https://github.com/andrelmlins,"Florianópolis, Brazil",Brazil
hugo,11180687,https://github.com/gohugoio/hugo,jmhodges,https://github.com/jmhodges,San Francisco,United States
mermaid,26066727,https://github.com/mermaid-js/mermaid,BastianZim,https://github.com/BastianZim,New York,United States
immich,455229168,https://github.com/immich-app/immich,alextran1502,https://github.com/alextran1502,United States,United States
animate.css,2561582,https://github.com/animate-css/animate.css,FelipeMartinin,https://github.com/FelipeMartinin,São Paulo,Brazil
markitdown,888092115,https://github.com/microsoft/markitdown,cybernobie,https://github.com/cybernobie,India,India
core,12888993,https://github.com/home-assistant/core,bdraco,https://github.com/bdraco,"Houston, TX",United States
bun,357728969,https://github.com/oven-sh/bun,dylan-conway,https://github.com/dylan-conway,"San Francisco, California",United States
manim,32689863,https://github.com/3b1b/manim,DanWaxman,https://github.com/DanWaxman,"Stony Brook, New York",United States
gemini-cli,968197216,https://github.com/google-gemini/gemini-cli,jakemac53,https://github.com/jakemac53,"Kenmore, WA",United States
FiraCode,26500787,https://github.com/tonsky/FiraCode,natestedman,https://github.com/natestedman,Brooklyn,United States
clash-verge-rev,721767116,https://github.com/clash-verge-rev/clash-verge-rev,hiaoxui,https://github.com/hiaoxui,United States,United States
spring-boot,6296790,https://github.com/spring-projects/spring-boot,runningcode,https://github.com/runningcode,Berlin,Germany
playwright,221981891,https://github.com/microsoft/playwright,muhqu,https://github.com/muhqu,"Hamburg, Germany",Germany
git,36502,https://github.com/git/git,gitster,https://github.com/gitster,"Mountain View, CA",United States
models,51117837,https://github.com/tensorflow/models,concretevitamin,https://github.com/concretevitamin,"Berkeley, CA",United States
LLMs-from-scratch,669879380,https://github.com/rasbt/LLMs-from-scratch,d-kleine,https://github.com/d-kleine,"Berlin, Germany",Germany
syncthing,14712850,https://github.com/syncthing/syncthing,andersonvom,https://github.com/andersonvom,"Washington, DC",United States
gpt4all,619959033,https://github.com/nomic-ai/gpt4all,nightscape,https://github.com/nightscape,"Regensburg, Germany",Germany
hoppscotch,203587744,https://github.com/hoppscotch/hoppscotch,AndrewBastin,https://github.com/AndrewBastin,"Kochi, Kerala, India",India
netdata,10744183,https://github.com/netdata/netdata,Ferroin,https://github.com/Ferroin,"Kettering, Ohio, USA",United States
Font-Awesome,3470471,https://github.com/FortAwesome/Font-Awesome,robmadole,https://github.com/robmadole,"Oronogo, Missouri",United States
elasticsearch,507775,https://github.com/elastic/elasticsearch,breskeby,https://github.com/breskeby,Berlin,Germany
json-server,14747598,https://github.com/typicode/json-server,GSchutz,https://github.com/GSchutz,Florianópolis,Brazil
fzf,13807606,https://github.com/junegunn/fzf,kelleyma49,https://github.com/kelleyma49,"Kirkland, WA",United States
union,641656392,https://github.com/unionlabs/union,loveneeshdhir,https://github.com/loveneeshdhir,New Delhi,India
code-server,172953845,https://github.com/coder/code-server,ammario,https://github.com/ammario,"Austin, TX",United States
Deep-Live-Cam,695864515,https://github.com/hacksider/Deep-Live-Cam,barongello,https://github.com/barongello,Brazil,Brazil
awesome-llm-apps,793375104,https://github.com/Shubhamsaboo/awesome-llm-apps,Jeomon,https://github.com/Jeomon,"Kerala, Kochi",India
